+---------------------+-------------+-----------+----------+----------+
|     time_of_day     | trip_count  | avg_fare  | avg_tip  | tip_pct  |
| 191919191919191919  | 1067        | 20.12     | 4.3      | 26.13    |
| 222223222222222222  | 1           | 19.1      | 4.97     | 26.02    |
| 181820202020202020  | 1           | 19.1      | 4.97     | 26.02    |
| 2323232323232323D_  | 1           | 15.6      | 4.05     | 25.96    |
| ght_23to05C_Evenin  | 1           | 13.5      | 3.5      | 25.93    |
| 20202020202020C_Ev  | 2           | 8.25      | 2.12     | 25.86    |
| 020202020202020201  | 1           | 16.3      | 4.2      | 25.77    |
| 1818181918181818C_  | 1           | 25.4      | 6.53     | 25.71    |
| 232322232323232323  | 2           | 38.7      | 10.06    | 25.7     |
| 18C_Evening_18to22  | 640         | 20.1      | 4.45     | 25.65    |
+---------------------+-------------+-----------+----------+----------+
|     time_of_day     | trip_count  | avg_fare  | avg_tip  | tip_pct  |
+---------------------+-------------+-----------+----------+----------+
| 010000232323222222  | 1           | 17.0      | 4.35     | 25.59    |
| 212120212121212121  | 1           | 17.0      | 4.35     | 25.59    |
| 181918181818181818  | 24          | 21.48     | 4.54     | 25.57    |
| 18181818C_Evening_  | 85          | 21.87     | 4.96     | 25.48    |
| 201919191919191919  | 2           | 16.65     | 3.9      | 25.47    |
| 040304040404040404  | 1           | 17.7      | 4.49     | 25.37    |
| ght_23to05D_Night_  | 475         | 20.89     | 4.6      | 25.36    |
| A_Morning_06to11    | 6622983     | 19.42     | 4.0      | 25.25    |
| 21191818C_Evening_  | 1           | 18.4      | 4.63     | 25.16    |
| 18181818181819C_Ev  | 1           | 18.4      | 4.63     | 25.16    |
| 1818C_Evening_18to  | 283         | 20.5      | 4.37     | 25.14    |
| 18181819C_Evening_  | 1           | 28.2      | 7.09     | 25.14    |
| 181818191818181818  | 27          | 15.91     | 3.42     | 25.09    |
| 232323232323232323  | 270         | 19.72     | 4.54     | 25.01    |
| 232323232323222222  | 1           | 18.4      | 4.6      | 25.0     |
| 222222222222222222  | 158         | 22.52     | 5.08     | 24.94    |
| 191919191819191919  | 5           | 13.36     | 3.23     | 24.93    |
| to05D_Night_23to05  | 475         | 20.72     | 4.59     | 24.93    |
| 000000000000000023  | 1           | 19.1      | 4.75     | 24.87    |
| 202020202020202020  | 339         | 18.35     | 3.95     | 24.86    |
| 181818181818191818  | 29          | 24.66     | 5.59     | 24.85    |
| 1818181818191818C_  | 1           | 70.0      | 17.34    | 24.77    |
| 1818191818181818C_  | 1           | 70.0      | 17.34    | 24.77    |
| 23to05D_Night_23to  | 474         | 21.45     | 4.42     | 24.71    |
| 18181818181918C_Ev  | 1           | 16.3      | 4.0      | 24.54    |
| 05C_Evening_18to22  | 2           | 13.5      | 3.32     | 24.39    |
| 181818C_Evening_18  | 119         | 22.81     | 4.57     | 24.33    |
| 1919C_Evening_18to  | 3           | 34.9      | 8.13     | 24.25    |
| t_23to05D_Night_23  | 478         | 20.04     | 4.24     | 24.24    |
| 1818181818C_Evenin  | 77          | 22.46     | 4.85     | 24.23    |
| 222222222222C_Even  | 1           | 22.6      | 5.47     | 24.2     |
| 202020202020C_Even  | 2           | 17.7      | 4.14     | 24.14    |
| 1818181818181818C_  | 69          | 21.89     | 3.89     | 24.07    |
| D_Night_23to05D_Ni  | 475         | 21.65     | 4.44     | 24.03    |
| 18to22rnoon_12to17  | 2           | 15.25     | 3.9      | 24.0     |
| 181818181818C_Even  | 71          | 20.41     | 3.94     | 23.98    |
| 22D_Night_23to05D_  | 2           | 7.2       | 1.83     | 23.97    |
| Night_23to05D_Nigh  | 474         | 20.65     | 4.25     | 23.92    |
| 05D_Night_23to05D_  | 465         | 20.4      | 4.28     | 23.85    |
| 212018180202010100  | 1           | 24.7      | 5.89     | 23.85    |
| 202020202020201920  | 1           | 48.5      | 11.55    | 23.81    |
| 010101010101010100  | 1           | 19.1      | 4.47     | 23.4     |
| 1805C_Evening_18to  | 1           | 70.0      | 16.34    | 23.34    |
| g_18to22C_Evening_  | 17061       | 23.73     | 4.45     | 23.31    |
| ing_18to22C_Evenin  | 17022       | 23.93     | 4.45     | 23.31    |
| 18to22C_Evening_18  | 17123       | 23.51     | 4.41     | 23.3     |
| ening_18to22C_Even  | 16992       | 23.96     | 4.47     | 23.28    |
| 010101010101010101  | 150         | 24.22     | 4.39     | 23.18    |
| C_Evening_18to22C_  | 16922       | 23.81     | 4.45     | 23.16    |
| to22C_Evening_18to  | 17210       | 23.56     | 4.4      | 23.02    |
| 22C_Evening_18to22  | 17452       | 23.68     | 4.41     | 23.01    |
| 191919191919191819  | 2           | 13.5      | 3.15     | 22.92    |
| 18181818181818C_Ev  | 55          | 22.42     | 4.24     | 22.9     |
| g_18to22D_Night_23  | 1           | 45.0      | 10.3     | 22.89    |
| 191919191919191818  | 3           | 11.9      | 2.5      | 22.88    |
| 010101010001010101  | 1           | 33.8      | 7.71     | 22.81    |
| 181819181818181818  | 28          | 27.56     | 5.45     | 22.81    |
| 040404040403040404  | 1           | 12.8      | 2.86     | 22.34    |
| 201818C_Evening_18  | 1           | 17.7      | 3.84     | 21.69    |
| C_Evening_18to2217  | 1           | 70.0      | 15.0     | 21.43    |
| 000000000000000000  | 149         | 20.87     | 3.78     | 21.2     |
| 19C_Evening_18to22  | 4           | 11.23     | 2.07     | 21.18    |
| 040404040404040404  | 48          | 28.42     | 4.67     | 21.14    |
| 1819C_Evening_18to  | 1           | 12.1      | 2.53     | 20.91    |
| 201918232222212121  | 1           | 7.2       | 1.5      | 20.83    |
| 030303030303030303  | 54          | 23.32     | 3.57     | 20.82    |
| 191919191919181919  | 6           | 16.3      | 3.02     | 20.35    |
| 040404040404040403  | 1           | 64.0      | 13.0     | 20.31    |
| 181818181818191918  | 4           | 20.85     | 4.14     | 20.12    |
| 23D_Night_23to05D_  | 2           | 6.5       | 1.3      | 20.0     |
| 010101000101010101  | 4           | 8.95      | 1.71     | 19.97    |
| 181819181818C_Even  | 1           | 25.4      | 5.0      | 19.69    |
| 181818191918181818  | 1           | 5.1       | 1.0      | 19.61    |
| 191918181818181818  | 6           | 34.67     | 7.44     | 19.43    |
| 23to05C_Evening_18  | 2           | 12.8      | 1.48     | 19.42    |
| 181919181818181818  | 2           | 52.0      | 8.69     | 19.17    |
| D_Night_23to05C_Ev  | 2           | 5.8       | 1.1      | 18.97    |
| 18D_Night_23to05C_  | 1           | 10.7      | 2.0      | 18.69    |
| 010000232221212120  | 1           | 13.5      | 2.5      | 18.52    |
| 23D_Night_23to0517  | 2           | 22.25     | 3.18     | 17.86    |
| 181818181818181919  | 4           | 21.03     | 3.89     | 17.83    |
| 020202020202020202  | 39          | 26.8      | 4.13     | 17.59    |
| D_Night_23to05to17  | 3           | 27.03     | 1.91     | 17.43    |
| 18181918C_Evening_  | 2           | 28.55     | 6.2      | 17.03    |
| 020202010202020202  | 1           | 10.0      | 1.65     | 16.5     |
| 191819191919191919  | 4           | 21.55     | 3.62     | 16.42    |
| 191919192019191919  | 2           | 34.85     | 5.33     | 16.21    |
| 040404040404030404  | 1           | 28.2      | 4.5      | 15.96    |
| 2222D_Night_23to05  | 2           | 18.75     | 2.01     | 15.66    |
| 2323D_Night_23to05  | 2           | 18.3      | 2.98     | 15.6     |
| 191919191919181818  | 2           | 10.7      | 1.41     | 15.11    |
| 2322212020191818D_  | 1           | 13.5      | 2.0      | 14.81    |
| g_18to22oon_12to17  | 1           | 13.5      | 2.0      | 14.81    |
| 040404040404030303  | 1           | 14.2      | 2.0      | 14.08    |
| 191919191818181818  | 2           | 30.25     | 5.33     | 14.01    |
| 192020202020202020  | 2           | 20.15     | 2.5      | 13.96    |
| 191919191920191919  | 2           | 23.3      | 2.74     | 13.79    |
| 191919181919181919  | 1           | 21.9      | 2.88     | 13.15    |
| 181818181819191818  | 2           | 18.4      | 3.41     | 12.71    |
| 202018212019222120  | 1           | 7.9       | 1.0      | 12.66    |
+---------------------+-------------+-----------+----------+----------+
|     time_of_day     | trip_count  | avg_fare  | avg_tip  | tip_pct  |
+---------------------+-------------+-----------+----------+----------+
| 18181919C_Evening_  | 1           | 32.4      | 3.96     | 12.22    |
| 030205050505050505  | 1           | 9.3       | 1.0      | 10.75    |
| 01010101D_Night_23  | 1           | 28.2      | 3.0      | 10.64    |
| 201918C_Evening_18  | 1           | 12.1      | 1.25     | 10.33    |
| C_Evening_18to22D_  | 4           | 35.2      | 1.75     | 9.76     |
| 1919191919191919C_  | 1           | 10.7      | 1.0      | 9.35     |
| 181818181919181818  | 2           | 191.3     | 1.0      | 7.41     |
| 030303030303030302  | 1           | 28.9      | 2.0      | 6.92     |
| 191919181818181818  | 1           | 21.2      | 1.0      | 4.72     |
| 010101010101000000  | 1           | 18.4      | 0.0      | 0.0      |
| 212121202020202020  | 1           | 33.1      | 0.0      | 0.0      |
| 020202020201020202  | 1           | 33.8      | 0.0      | 0.0      |
| 00000000000000D_Ni  | 1           | 74.5      | 0.0      | 0.0      |
| 182018181818181818  | 1           | 10.0      | 0.0      | 0.0      |
| 02D_Night_23to0517  | 1           | 23.3      | 0.0      | 0.0      |
| 2020202020202020C_  | 1           | 18.5      | 0.0      | 0.0      |
+---------------------+-------------+-----------+----------+----------+
