+--------------+----------------------+----------------------+------------------+-----------+---------------+----------+
| total_trips  |   earliest_pickup    |    latest_pickup     |  total_revenue   | avg_fare  | avg_distance  | avg_tip  |
+--------------+----------------------+----------------------+------------------+-----------+---------------+----------+
| 48722573     | 2025-01-01 00:00:00  | 2025-12-31 23:59:59  | 1.31106576214E9  | 18.42     | 6.84          | 2.84     |
+--------------+----------------------+----------------------+------------------+-----------+---------------+----------+
