+-----------------+-----------------+----------------+----------------+------------------------+-----------------------+--------------------+---------------+------------------+
|   total_fare    |    total_tip    | total_mta_tax  |  total_tolls   | total_improvement_sur  | total_congestion_sur  | total_airport_fee  |  total_extra  |   grand_total    |
+-----------------+-----------------+----------------+----------------+------------------------+-----------------------+--------------------+---------------+------------------+
| 8.9743919975E8  | 1.3848174481E8  | 2.327400933E7  | 2.430448771E7  | 4.630136325E7          | 8.10183605E7          | 5388115.0          | 5.67307458E7  | 1.31106576214E9  |
+-----------------+-----------------+----------------+----------------+------------------------+-----------------------+--------------------+---------------+------------------+
