model,RMSE,MAE,R2,ExplainedVariance,MeanError,MedianAbsError,P90AbsError,P95AbsError,Within1Dollar,Within2Dollars
LinearRegression,2.5856275735379963,1.3751172592687448,0.6186120488045714,0.6187114085492333,-0.041733779731789725,0.787750646588619,2.9796778227840264,4.375676351095817,0.5764757278671281,0.8009055056533735
RandomForestRegressor,2.576818533592376,1.3410737010816287,0.6212049431604892,10.28195192983957,-0.05309871513148017,0.6894385201323447,2.9139842529474,4.209249466789535,0.6157869403359162,0.8071556798499605
GBTRegressor,2.581856496096514,1.3391777009669898,0.6197223235735605,10.43088684613777,-0.043214834159456095,0.6749697288927274,2.8902485053123987,4.2503021537392645,0.6151952679502667,0.8069284714502288
