+----------------+----------------+----------------+-------------------+------------------+----------------------+---------------------+
| total_records  | null_datetime  | zero_distance  | zero_or_neg_fare  | zero_passengers  | outlier_dist_gt50mi  | outlier_fare_gt500  |
+----------------+----------------+----------------+-------------------+------------------+----------------------+---------------------+
| 48722573       | 0              | 1402958        | 2870234           | 260062           | 9142                 | 844                 |
+----------------+----------------+----------------+-------------------+------------------+----------------------+---------------------+
